Group_Indicator,Gender,Issue_Age_Bucket,Incurred_Age_Bucket,Issue_Year_Bucket,Policy_Year,Marital_Status,Premium_Class,Underwriting_Type,Coverage_Type_Bucket,Tax_Qualification_Status,Inflation_Rider,Rate_Increase_Flag,Restoration_of_Benefits,NH_Orig_Daily_Ben_Bucket,ALF_Orig_Daily_Ben_Bucket,HHC_Orig_Daily_Ben_Bucket,NH_Ben_Period_Bucket,ALF_Ben_Period_Bucket,HHC_Ben_Period_Bucket,NH_EP_Bucket,ALF_EP_Bucket,HHC_EP_Bucket,Region,Active_Exposure,Total_Exposure,Claim_Count,Count_NH,Count_ALF,Count_HHC,Count_Unk
Group,Female, 0-49,50-54,2012-2014, 4-6 years,Unknown,Standard,Unknown,Comprehensive,Tax-qualified,No inflation protection,No,No,200+,100-199,200+,Unknown,Unknown,Unknown,   0,   0,   0,Unknown,3,3,0,0,0,0,0
Individual,Male,55-59,60-64,2000-2002, 4-6 years,Married,Preferred,Other,Comprehensive,Tax-qualified,Inflation protection,Yes,No, < 100, < 100,100-199,Unknown,Unknown,Unknown,  20,  20,   0,03: South,3,3,0,0,0,0,0
Individual,Female,60-64,60-64,1997-1999, 1-3 years,Single,Preferred,Full underwriting,Comprehensive,Non-tax-qualified,Inflation protection,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,04: West,40.666656,40.666656,0,0,0,0,0
Individual,Female,55-59,70-74,2000-2002,13-15 years,Single,Standard,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,No,100-199,100-199, < 100,  5-9 year,  5-9 year,  5-9 year, 180, 180,  30,03: South,3,3,0,0,0,0,0
Individual,Female,65-69,70-74,2000-2002, 4-6 years,Unknown,Standard,Unknown,Other,Non-tax-qualified,No inflation protection,Yes,Yes,Unknown,Unknown,100-199,Unknown,Unknown,  3-4 year,   0,   0,   0,01: Mid-West,3,3,0,0,0,0,0
Individual,Female,70-74,85-89,2003-2005,13-15 years,Single,Standard,Unknown,Comprehensive,Tax-qualified,Inflation protection,Yes,No,100-199,100-199,100-199,Unknown,Unknown,Unknown,   0,   0,   0,Unknown,14.249996,18.583328,1,0,0,1,0
Individual,Male,80-84,90+,1997-1999, 7-9 years,Single,Standard,Full underwriting,Comprehensive,Non-tax-qualified,No inflation protection,No,No,100-199,100-199, < 100,   < 3 year,   < 3 year,   < 3 year,  90,  90,  90,04: West,2,2,0,0,0,0,0
Individual,Female,65-69,70-74,1997-1999,10-12 years,Married,Standard,Full underwriting,Other,Tax-qualified,Unknown,No,No,Unknown,Unknown,Unknown,   < 3 year,   < 3 year,Unknown,   0,   0,   0,Unknown,11,11,0,0,0,0,0
Individual,Male,50-54,65-69,2003-2005,13-15 years,Single,Standard,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,No,No,100-199,100-199,100-199, Unlimited, Unlimited, Unlimited,  90,  90,  30,04: West,1.25,1.25,0,0,0,0,0
Group,Female,55-59,70-74,2000-2002,13-15 years,Single,Preferred,Other,Comprehensive,Non-tax-qualified,Inflation protection,Yes,No, < 100, < 100, < 100, Unlimited,Unknown,  3-4 year,  30,  20,  20,02: Northeast,1.416666,1.416666,0,0,0,0,0
Individual,Male,70-74,90+,1997-1999,15+ years,Married,Preferred,Other,Comprehensive,Tax-qualified,No inflation protection,Yes,No, < 100, < 100,100-199,Unknown,Unknown,Unknown,   0,   0,   0,03: South,3.5,3.5,0,0,0,0,0
Group,Male,60-64,60-64,2000-2002, 1-3 years,Married,Standard,Other,Comprehensive,Non-tax-qualified,Inflation protection,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,03: South,23,23,0,0,0,0,0
Individual,Male,70-74,80-84,2000-2002,10-12 years,Married,Standard,Other,Other,Non-tax-qualified,No inflation protection,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,04: West,3,3,1,0,0,1,0
Individual,Female,65-69,70-74,1997-1999, 7-9 years,Single,Standard,Full underwriting,Comprehensive,Non-tax-qualified,No inflation protection,No,No,100-199,100-199,100-199,  5-9 year,  5-9 year,  5-9 year,  90,  90,  90,04: West,4,4,0,0,0,0,0
Individual,Male,60-64,65-69,1991-1993,10-12 years,Married,Preferred,Other,Comprehensive,Non-tax-qualified,No inflation protection,Yes,No, < 100, < 100, < 100,Unknown,Unknown,Unknown,  90,  20,  20,03: South,2,2,0,0,0,0,0
Individual,Male,60-64,70-74,1997-1999, 7-9 years,Single,Standard,Unknown,Other,Tax-qualified,No inflation protection,Yes,No, < 100, < 100,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,Unknown,4,4,0,0,0,0,0
Individual,Female,65-69,70-74, < 1991,10-12 years,Married,Standard,Unknown,Other,Non-tax-qualified,Inflation protection,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,22.083323,22.083323,0,0,0,0,0
Individual,Female,60-64,70-74,1997-1999,10-12 years,Single,Standard,Full underwriting,Comprehensive,Tax-qualified,No inflation protection,Yes,Yes,100-199,100-199,100-199,  3-4 year,  3-4 year,  3-4 year,  90,  90,  90,Unknown,18,18,0,0,0,0,0
Individual,Female,65-69,75-79,1991-1993,13-15 years,Single,Standard,Full underwriting,Comprehensive,Non-tax-qualified,Inflation protection,No,Yes,200+,200+,200+,   < 3 year,   < 3 year,   < 3 year,   0,   0,   0,03: South,34,38,4,3,1,0,0
Group,Female, 0-49,60-64,2000-2002,13-15 years,Married,Standard,Other,Other,Non-tax-qualified,Inflation protection,Yes,No,100-199, < 100,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,3,3,0,0,0,0,0
Individual,Female,70-74,90+,1997-1999,15+ years,Single,Preferred,Other,Comprehensive,Tax-qualified,GPO,Yes,No,Unknown,Unknown,Unknown,Unknown, 10+ years,Unknown,   0,   0,   0,03: South,3,3,1,0,0,1,0
Individual,Male,60-64,65-69,2000-2002, 7-9 years,Unknown,Standard,Unknown,Comprehensive,Non-tax-qualified,No inflation protection,Yes,Yes,100-199,200+,200+, Unlimited, Unlimited, Unlimited,  90,  90,   0,03: South,5.083333,5.083333,0,0,0,0,0
Individual,Female,65-69,75-79,2003-2005,13-15 years,Unknown,Standard,Unknown,Other,Non-tax-qualified,No inflation protection,Yes,Yes,100-199,100-199,100-199,  3-4 year,  3-4 year,  3-4 year,  20,  20,  20,04: West,2.166666,2.166666,0,0,0,0,0
Individual,Male,65-69,80-84,1997-1999,15+ years,Married,Preferred,Full underwriting,Comprehensive,Non-tax-qualified,Inflation protection,Yes,No, < 100, < 100, < 100, Unlimited, Unlimited,  3-4 year,   0,   0,   0,03: South,6.916666,6.916666,0,0,0,0,0
Individual,Female,70-74,85-89,1997-1999,13-15 years,Single,Preferred,Unknown,Comprehensive,Non-tax-qualified,No inflation protection,Yes,No,100-199,100-199,100-199,Unknown,Unknown,Unknown,   0,   0,   0,Unknown,7,7,0,0,0,0,0
Individual,Male,75-79,75-79,2000-2002, 1-3 years,Single,Standard,Full underwriting,Other,Non-tax-qualified,No inflation protection,Yes,No,200+,200+,Unknown,   < 3 year,   < 3 year,Unknown,   0,   0,   0,01: Mid-West,12,12,0,0,0,0,0
Individual,Female,65-69,70-74,1997-1999, 1-3 years,Married,Standard,Full underwriting,Comprehensive,Non-tax-qualified,No inflation protection,No,No,100-199,100-199, < 100, Unlimited, Unlimited,   < 3 year,  90,  90,  90,01: Mid-West,1.5833319,1.5833319,0,0,0,0,0
Individual,Female,55-59,65-69,2000-2002, 7-9 years,Single,Preferred,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,150.08333,151.08333,1,0,1,0,0
Individual,Female,60-64,65-69,2006-2008, 7-9 years,Married,Standard,Full underwriting,Other,Tax-qualified,Unknown,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,Unknown,11,11,0,0,0,0,0
Individual,Male,60-64,70-74,2003-2005,10-12 years,Married,Preferred,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,No,Unknown,Unknown,Unknown, Unlimited, Unlimited,  3-4 year,   0,   0,   0,01: Mid-West,20,20,0,0,0,0,0
Individual,Male,60-64,70-74,2000-2002,10-12 years,Married,Substandard,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,No,100-199, < 100, < 100,  3-4 year,  5-9 year,  5-9 year,  90,  90,  90,Unknown,3,3,0,0,0,0,0
Group,Female,60-64,60-64,2003-2005, 1-3 years,Unknown,Standard,Other,Comprehensive,Tax-qualified,Inflation protection,No,Yes,200+,200+,200+,Unknown,Unknown,Unknown,   0,   0,   0,02: Northeast,3,3,0,0,0,0,0
Individual,Female,60-64,65-69,2003-2005, 7-9 years,Married,Preferred,Unknown,Other,Tax-qualified,Inflation protection,Yes,Yes,100-199,100-199,Unknown, Unlimited, Unlimited,Unknown,  90,  90,   0,04: West,2,2,0,0,0,0,0
Individual,Male,50-54,55-59,2003-2005,10-12 years,Married,Preferred,Full underwriting,Comprehensive,Tax-qualified,GPO,Yes,No,Unknown,Unknown,Unknown, Unlimited, Unlimited, Unlimited,   0,   0,   0,Unknown,3,3,0,0,0,0,0
Individual,Female,75-79,90+, < 1991,13-15 years,Unknown,Substandard,Unknown,Comprehensive,Non-tax-qualified,No inflation protection,Yes,No, < 100, < 100, < 100,  3-4 year,  3-4 year,   < 3 year,   0,   0,   0,04: West,3,3,0,0,0,0,0
Individual,Female,65-69,65-69,2003-2005, 4-6 years,Unknown,Standard,Unknown,Comprehensive,Tax-qualified,Inflation protection,Yes,Yes, < 100,Unknown,Unknown, Unlimited, Unlimited,   < 3 year,  90,   0,   0,03: South,2,2,0,0,0,0,0
Individual,Female,75-79,75-79,1997-1999, 1-3 years,Married,Standard,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,No,100-199,100-199, < 100,Unknown,Unknown,Unknown,   0,   0,   0,Unknown,2.916666,2.916666,0,0,0,0,0
Individual,Female,75-79,80-84,1994-1996, 4-6 years,Single,Preferred,Full underwriting,Other,Non-tax-qualified,Inflation protection,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,9,9,0,0,0,0,0
Individual,Female,75-79,80-84,1994-1996, 4-6 years,Single,Standard,Full underwriting,Other,Non-tax-qualified,No inflation protection,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,2.833333,2.833333,0,0,0,0,0
Individual,Female,65-69,75-79,2000-2002, 7-9 years,Married,Standard,Full underwriting,Other,Tax-qualified,Inflation protection,Yes,Yes, < 100, < 100,Unknown, Unlimited, Unlimited,Unknown, 180, 180,   0,Unknown,6,6,0,0,0,0,0
Individual,Male,75-79,85-89,2000-2002,13-15 years,Married,Preferred,Other,Comprehensive,Tax-qualified,No inflation protection,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,18.416666,19.583332,0,0,0,0,0
Individual,Male,70-74,85-89,2003-2005,13-15 years,Married,Standard,Unknown,Comprehensive,Tax-qualified,Inflation protection,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,03: South,68.583313,75.499985,5,0,1,4,0
Individual,Male,50-54,65-69,1997-1999,10-12 years,Married,Preferred,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,03: South,46,46,0,0,0,0,0
Individual,Female,70-74,80-84,1997-1999,13-15 years,Single,Standard,Other,Other,Non-tax-qualified,Inflation protection,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,2.083333,2.166666,0,0,0,0,0
Individual,Male,50-54,60-64,1991-1993,13-15 years,Married,Standard,Other,Comprehensive,Tax-qualified,Inflation protection,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,03: South,2,2,0,0,0,0,0
Individual,Female,70-74,70-74,2009-2011, 1-3 years,Single,Standard,Full underwriting,Comprehensive,Tax-qualified,GPO,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,04: West,18.916666,18.916666,0,0,0,0,0
Individual,Female,50-54,55-59,2000-2002, 7-9 years,Married,Preferred,Other,Comprehensive,Tax-qualified,No inflation protection,Yes,No,100-199, < 100,100-199,Unknown,Unknown,Unknown,   0,   0,   0,03: South,11,11,0,0,0,0,0
Group,Female, 0-49,55-59,2009-2011, 7-9 years,Unknown,Standard,Other,Comprehensive,Tax-qualified,No inflation protection,No,Yes,200+,100-199,100-199,Unknown,Unknown,Unknown,   0,   0,   0,03: South,3.8333321,3.8333321,0,0,0,0,0
Individual,Female,50-54,65-69,2000-2002,13-15 years,Single,Standard,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,No,100-199,100-199,100-199, Unlimited, Unlimited, Unlimited,  90,  90,  30,03: South,3,3,0,0,0,0,0
Individual,Female,55-59,60-64,2003-2005, 4-6 years,Married,Preferred,Full underwriting,Comprehensive,Tax-qualified,No inflation protection,Yes,Yes,200+,200+,200+, Unlimited, Unlimited, Unlimited,  20,  20,  20,04: West,2,2,0,0,0,0,0
Individual,Female,70-74,85-89, < 1991,10-12 years,Single,Standard,Full underwriting,Comprehensive,Non-tax-qualified,Inflation protection,No,No,200+,Unknown,200+,   < 3 year,Unknown,   < 3 year,   0,   0,   0,03: South,1.666666,2.666666,0,0,0,0,0
Individual,Female,50-54,60-64,2006-2008,10-12 years,Married,Preferred,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,Yes, < 100, < 100, < 100,  5-9 year,  5-9 year,  5-9 year,  90,  90,  20,04: West,1.416666,1.416666,0,0,0,0,0
Individual,Male,60-64,70-74,2000-2002, 4-6 years,Married,Standard,Other,Comprehensive,Tax-qualified,Inflation protection,Yes,No,200+,100-199,100-199,Unknown,Unknown,Unknown,   0,   0,   0,02: Northeast,2,2,0,0,0,0,0
Individual,Male,60-64,60-64,2000-2002, 1-3 years,Married,Preferred,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,No,No, < 100, < 100, < 100,  5-9 year,  5-9 year,  3-4 year,   0,   0,   0,01: Mid-West,3,3,0,0,0,0,0
Individual,Male,60-64,65-69,2009-2011, 1-3 years,Single,Preferred,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,No,No, < 100, < 100, < 100,Unknown,Unknown,Unknown,  90,  90,  90,03: South,4,4,0,0,0,0,0
Individual,Female,50-54,55-59,2000-2002, 4-6 years,Single,Preferred,Full underwriting,Comprehensive,Tax-qualified,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,Unknown,83,83,0,0,0,0,0
Individual,Female,65-69,85-89,1994-1996,15+ years,Single,Standard,Full underwriting,Comprehensive,Non-tax-qualified,Inflation protection,Yes,No,100-199,100-199, < 100,   < 3 year,   < 3 year,   < 3 year,  30,  30,  30,Unknown,1.083333,1.083333,0,0,0,0,0
Individual,Male,60-64,60-64,2000-2002, 1-3 years,Married,Standard,Full underwriting,Other,Tax-qualified,No inflation protection,No,No,200+,200+,Unknown,   < 3 year,   < 3 year,Unknown,   0,   0,   0,01: Mid-West,7.25,7.25,0,0,0,0,0
Individual,Female,60-64,80-84, < 1991,15+ years,Married,Standard,Unknown,Other,Non-tax-qualified,No inflation protection,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,02: Northeast,29.75,29.75,0,0,0,0,0
Individual,Male,75-79,90+,2000-2002,15+ years,Married,Standard,Other,Comprehensive,Tax-qualified,Inflation protection,Yes,No, < 100, < 100,100-199,  3-4 year,Unknown,  3-4 year,  90,  30,  30,03: South,1.5,1.5,0,0,0,0,0
Individual,Male,65-69,65-69,1997-1999, 4-6 years,Married,Preferred,Unknown,Comprehensive,Tax-qualified,Inflation protection,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,03: South,74,74,1,1,0,0,0
Individual,Female,60-64,70-74,2003-2005,10-12 years,Married,Standard,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,No, < 100, < 100, < 100, Unlimited, Unlimited, Unlimited,  30,  30,  30,Unknown,12,13,1,1,0,0,0
Individual,Male,70-74,85-89,2003-2005,13-15 years,Married,Standard,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,Yes,100-199,100-199,100-199, Unlimited, Unlimited, Unlimited, 180, 180, 180,Unknown,1.5,1.5,0,0,0,0,0
Group,Male, 0-49,50-54,2003-2005, 1-3 years,Married,Standard,Other,Comprehensive,Tax-qualified,Inflation protection,No,Yes,100-199, < 100, < 100,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,2,2,0,0,0,0,0
Group,Male, 0-49,50-54,2006-2008, 4-6 years,Married,Standard,Other,Comprehensive,Tax-qualified,No inflation protection,No,No,100-199,100-199,100-199,Unknown,Unknown,Unknown,   0,   0,   0,04: West,3,3,0,0,0,0,0
Individual,Male,50-54,65-69,1994-1996,15+ years,Unknown,Standard,Full underwriting,Comprehensive,Non-tax-qualified,Inflation protection,Yes,Yes,200+,Unknown,200+, Unlimited,Unknown, Unlimited,   0,   0,   0,01: Mid-West,5,5,0,0,0,0,0
Individual,Female,60-64,75-79, < 1991,13-15 years,Single,Standard,Unknown,Other,Non-tax-qualified,No inflation protection,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,03: South,193.66666,195.83333,4,3,0,0,1
Individual,Male,70-74,70-74,2000-2002, 1-3 years,Single,Standard,Full underwriting,Comprehensive,Tax-qualified,No inflation protection,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,170,170,1,1,0,0,0
Individual,Female,70-74,85-89,2003-2005,13-15 years,Unknown,Standard,Unknown,Comprehensive,Tax-qualified,GPO,Yes,Yes,Unknown,Unknown,Unknown,  3-4 year,  3-4 year,   < 3 year,   0,   0,   0,01: Mid-West,0,1.666666,0,0,0,0,0
Individual,Female,50-54,60-64,2000-2002,10-12 years,Married,Substandard,Full underwriting,Other,Tax-qualified,Inflation protection,Yes,No, < 100, < 100,Unknown, Unlimited, Unlimited,Unknown,  90,  90,   0,Unknown,4.583333,4.583333,0,0,0,0,0
Individual,Male,60-64,70-74,1997-1999,10-12 years,Married,Standard,Full underwriting,Comprehensive,Tax-qualified,No inflation protection,No,Yes,200+,200+,200+,   < 3 year,   < 3 year,   < 3 year,   0,   0,   0,02: Northeast,2,2,0,0,0,0,0
Individual,Male,60-64,70-74,2006-2008,10-12 years,Married,Standard,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,No, < 100, < 100, < 100,Unknown,Unknown,Unknown,   0,   0,   0,Unknown,17.583328,17.583328,0,0,0,0,0
Individual,Male,70-74,85-89,2000-2002,13-15 years,Married,Standard,Full underwriting,Comprehensive,Non-tax-qualified,No inflation protection,No,Yes,200+,200+,200+,   < 3 year,   < 3 year,   < 3 year,   0,   0,   0,01: Mid-West,1.833333,1.833333,1,1,0,0,0
Individual,Male, 0-49,60-64,2003-2005,10-12 years,Single,Preferred,Full underwriting,Comprehensive,Tax-qualified,GPO,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,03: South,1.416666,1.416666,0,0,0,0,0
Individual,Female,55-59,55-59,2003-2005, 1-3 years,Single,Substandard,Full underwriting,Comprehensive,Tax-qualified,No inflation protection,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,04: West,3,3,0,0,0,0,0
Group,Male,65-69,70-74,2003-2005,10-12 years,Unknown,Standard,Full underwriting,Comprehensive,Tax-qualified,No inflation protection,No,No,200+,200+,200+,Unknown,Unknown,Unknown,   0,   0,   0,04: West,7.583333,7.75,0,0,0,0,0
Individual,Female,55-59,55-59,2003-2005, 1-3 years,Married,Standard,Other,Comprehensive,Tax-qualified,No inflation protection,Yes,No, < 100, < 100,100-199,Unknown,Unknown,Unknown,  90,  90,   0,01: Mid-West,2,2,0,0,0,0,0
Individual,Female,70-74,80-84,1991-1993,10-12 years,Married,Standard,Full underwriting,Comprehensive,Non-tax-qualified,Unknown,No,No,Unknown,Unknown,Unknown, Unlimited, Unlimited, Unlimited,   0,   0,   0,Unknown,13,13,0,0,0,0,0
Individual,Female,70-74,75-79,2000-2002, 1-3 years,Married,Standard,Full underwriting,Comprehensive,Tax-qualified,No inflation protection,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,03: South,181,181,0,0,0,0,0
Individual,Female,55-59,70-74,1994-1996,13-15 years,Married,Substandard,Full underwriting,Other,Non-tax-qualified,Unknown,No,No,Unknown,Unknown,Unknown,  5-9 year,  5-9 year,Unknown,   0,   0,   0,Unknown,22,22,0,0,0,0,0
Individual,Male,65-69,80-84, < 1991,13-15 years,Unknown,Standard,Full underwriting,Other,Non-tax-qualified,Inflation protection,No,Yes,Unknown,Unknown,200+,Unknown,Unknown,   < 3 year,   0,   0,   0,04: West,8,8,0,0,0,0,0
Individual,Female,70-74,75-79,1997-1999, 1-3 years,Single,Preferred,Other,Comprehensive,Non-tax-qualified,GPO,Yes,No,Unknown,Unknown,Unknown, Unlimited,Unknown,Unknown,   0,   0,   0,03: South,2,2,0,0,0,0,0
Individual,Female,60-64,65-69,1997-1999, 7-9 years,Single,Standard,Full underwriting,Comprehensive,Non-tax-qualified,No inflation protection,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,03: South,254,257,0,0,0,0,0
Individual,Male,50-54,65-69, < 1991,10-12 years,Married,Standard,Full underwriting,Comprehensive,Non-tax-qualified,No inflation protection,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,02: Northeast,2.833333,2.833333,0,0,0,0,0
Individual,Female,55-59,55-59,2003-2005, 1-3 years,Married,Preferred,Other,Comprehensive,Tax-qualified,Inflation protection,Yes,No,100-199,100-199,200+,Unknown,Unknown,Unknown,   0,   0,   0,02: Northeast,93,93,0,0,0,0,0
Individual,Female,50-54,55-59,2003-2005, 4-6 years,Unknown,Preferred,Full underwriting,Comprehensive,Non-tax-qualified,Inflation protection,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,Unknown,32.749996,32.749996,0,0,0,0,0
Group,Female,50-54,60-64,2000-2002, 7-9 years,Single,Standard,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,Unknown,11,11,0,0,0,0,0
Individual,Male,60-64,80-84,1997-1999,15+ years,Married,Standard,Full underwriting,Comprehensive,Tax-qualified,GPO,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,91.166641,93.416641,1,1,0,0,0
Individual,Male,60-64,75-79,1991-1993,15+ years,Single,Substandard,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,5,5,0,0,0,0,0
Group,Female,60-64,70-74,1997-1999,13-15 years,Single,Standard,Other,Comprehensive,Tax-qualified,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,Unknown,16,16,0,0,0,0,0
Individual,Male,65-69,75-79,1994-1996,10-12 years,Married,Standard,Full underwriting,Comprehensive,Non-tax-qualified,No inflation protection,No,Yes,200+,200+,200+, Unlimited, Unlimited, Unlimited,   0,   0,   0,03: South,42.833332,46.249996,0,0,0,0,0
Individual,Female,60-64,70-74,2006-2008, 7-9 years,Married,Standard,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,No,No, < 100, < 100, < 100,Unknown,Unknown,Unknown,  90,  90,   0,03: South,2,2,0,0,0,0,0
Group,Male,55-59,65-69,2000-2002,10-12 years,Married,Standard,Other,Comprehensive,Non-tax-qualified,Inflation protection,Yes,No, < 100, < 100, < 100,Unknown,Unknown,Unknown,   0,   0,   0,03: South,15,15,0,0,0,0,0
Individual,Female,70-74,85-89,1994-1996,15+ years,Unknown,Standard,Unknown,Comprehensive,Non-tax-qualified,No inflation protection,No,No,100-199, < 100, < 100,  5-9 year,  5-9 year,  5-9 year,  90,  90,  90,04: West,4,4,0,0,0,0,0
Individual,Male, 0-49,55-59,2000-2002,10-12 years,Married,Standard,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,No, < 100, < 100, < 100, Unlimited, Unlimited, Unlimited,  90,  90,  30,04: West,6,6,0,0,0,0,0
Individual,Female,75-79,90+,1994-1996,15+ years,Single,Preferred,Other,Other,Non-tax-qualified,No inflation protection,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,02: Northeast,5.999999,7.3333321,2,2,0,0,0
Individual,Male,65-69,70-74,1994-1996, 4-6 years,Married,Standard,Full underwriting,Comprehensive,Non-tax-qualified,GPO,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,02: Northeast,40.91666,40.91666,0,0,0,0,0
Group,Male,55-59,55-59,1997-1999, 4-6 years,Married,Standard,Other,Comprehensive,Tax-qualified,No inflation protection,No,Yes,100-199,100-199,100-199,Unknown,Unknown,Unknown,   0,   0,   0,03: South,3,3,0,0,0,0,0
Individual,Female,75-79,75-79,2000-2002, 4-6 years,Married,Standard,Other,Comprehensive,Tax-qualified,No inflation protection,Yes,No,100-199,100-199,200+,Unknown,Unknown,Unknown,   0,   0,   0,04: West,3,3,0,0,0,0,0
Individual,Female,60-64,60-64,2003-2005, 1-3 years,Married,Standard,Full underwriting,Comprehensive,Tax-qualified,No inflation protection,Yes,Yes, < 100, < 100, < 100,  3-4 year,  3-4 year,  3-4 year,  90,  90,  20,02: Northeast,3,3,0,0,0,0,0
Individual,Female, 0-49, 0-49,1997-1999, 4-6 years,Married,Standard,Other,Other,Tax-qualified,GPO,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,26,26,0,0,0,0,0
Group,Female, 0-49,50-54,2006-2008, 4-6 years,Unknown,Standard,Other,Comprehensive,Tax-qualified,No inflation protection,No,Yes,100-199,200+,200+,Unknown,Unknown,Unknown,   0,   0,   0,02: Northeast,19,19,0,0,0,0,0
Individual,Female,65-69,65-69,2000-2002, 1-3 years,Unknown,Standard,Unknown,Comprehensive,Non-tax-qualified,Inflation protection,Yes,Yes,100-199,200+,200+, Unlimited, Unlimited, Unlimited, 180, 180,   0,01: Mid-West,3,3,0,0,0,0,0
Individual,Female,70-74,75-79,2009-2011, 7-9 years,Married,Substandard,Full underwriting,Comprehensive,Tax-qualified,No inflation protection,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,04: West,2.583333,2.583333,0,0,0,0,0
Individual,Female,50-54,55-59,2003-2005, 1-3 years,Single,Standard,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,No, < 100, < 100, < 100,  5-9 year,  5-9 year,  5-9 year,  90,  90,  30,03: South,3,3,0,0,0,0,0
Individual,Female, 0-49,55-59,2000-2002, 7-9 years,Married,Preferred,Other,Comprehensive,Tax-qualified,No inflation protection,No,No,200+,100-199,200+,Unknown,Unknown,Unknown,   0,   0,   0,04: West,2,2,0,0,0,0,0
